iteration,timesteps,return,actor_loss,critic_loss,total_loss
1,1030,20.19607843137255,-0.011096354123325117,125.48462793903965,62.73121733819285
2,2064,27.945945945945947,-0.0010545453759750315,172.42362833958046,86.21075944339528
3,3112,33.806451612903224,-0.01765898841190407,153.358970214038,76.6618260676318
4,4178,56.10526315789474,-0.01695498151649885,148.1202081568101,74.04314919640036
5,5368,85.0,-0.02070114949948332,249.70839528287394,124.83349652236767
6,6464,99.63636363636364,-0.04234142420259682,279.4460276010874,139.68067251669393
7,7490,128.25,-0.009194522961666904,272.7302969706427,136.3559542783757
8,8554,106.4,-0.01205044557367835,201.42451196558335,100.70020547754625
9,9650,182.66666666666666,-0.016095192952909402,138.6337288008796,69.30076920721265
10,10770,160.0,-0.013051749021621236,151.14551146205886,75.55970400855655
11,11880,277.5,-0.011111589535398201,93.87859560118781,46.92818623648749
12,13380,500.0,-0.007595407645998779,152.48919026870934,76.23699978162658
13,14491,277.75,-0.004646410383485926,82.80776414192128,41.399235726879105
14,15990,499.6666666666667,-0.0068640287249134135,93.17333542540833,46.579803632379885
15,17073,361.0,-0.009079863530967165,128.56240693260642,64.27212366216322
16,18573,500.0,-0.007968427039061983,202.01988499164582,101.00197412570317
17,20043,490.0,-0.002803080327209065,181.55459817803424,90.77449612410172
18,21146,275.75,-0.01055607763119042,64.39006526205274,32.184476625919345
19,22390,414.6666666666667,-0.008664640249929042,28.87512926140217,14.428900013066302
20,23890,500.0,-0.0015783217701634082,178.66104317506154,89.32894305785497
21,25124,308.5,-0.010913748644513659,293.51968806804996,146.7489306383794
22,26624,500.0,-0.0015534447740113441,162.72569703261058,81.36129505038261
23,28124,500.0,-0.002863079990493134,192.23779814243318,96.11603599389395
24,29624,500.0,-0.011510445812355326,196.30719857176473,98.1420887797332
25,30889,421.6666666666667,-0.007584868404000292,179.35448216545512,89.6696560312305
26,31916,256.75,-0.0016619247028275448,205.215423579777,102.6060499706689
27,33188,424.0,-0.006776369364815764,146.24843868255616,73.11744298934937
28,34688,500.0,-0.004549158254855781,205.01958837363927,102.50524498121388
29,36188,500.0,-0.007207726575182499,89.33258163864548,44.65908302100929
30,37688,500.0,-0.0009060271336541821,220.2240883032481,110.11113806565602
31,39188,500.0,-0.0036865630237234714,208.06013135767694,104.02637895897253
32,40632,481.3333333333333,-0.0058385773020274674,116.53616040818234,58.26224151232564
33,42132,500.0,-0.0038646149817698947,232.10980972448985,116.05104027589162
34,43632,500.0,-0.0053487551463297185,126.43674405645378,63.2130231203155
35,45132,500.0,-0.003696058358764276,170.235706226031,85.11415699720382
36,46632,500.0,-0.0023702445567354686,239.43137092807694,119.71331514863887
37,47958,442.0,-0.0039031681388483515,207.98018322899227,103.98618849799746
38,49458,500.0,-0.0034738456626655532,240.16959680716198,120.08132477601369
39,50958,500.0,-0.0010478786260743314,190.46445796489715,95.23118104338646
40,52458,500.0,-0.005103997632183812,212.28694004779095,106.13836617903276
41,53596,379.3333333333333,-0.0022796832232011687,261.464757071601,130.73009905285306
42,55060,366.0,-0.00562300608675603,255.72860925923223,127.85868167462556
43,56560,500.0,-0.0016234789467374751,180.89067955704422,90.44371612651928
44,57868,436.0,-0.004390400685909865,180.7050698828582,90.34814466024942
45,59368,500.0,-0.003724980149166407,195.97036204466949,97.98145595756736
46,60868,500.0,-0.0047797809320376,139.5237913460567,69.7571159572753
47,62368,500.0,-0.006896893282305278,139.86770941541087,69.92695791892756
48,63868,500.0,-0.002029755207089086,167.97488524516424,83.98541306654612
49,65368,500.0,-0.005656011806091887,202.3129848241806,101.15083636208014
50,66868,500.0,-0.007885368937190542,174.87071069757988,87.42747041012379
51,68368,500.0,-0.00399283290898893,203.08441773255666,101.53821600278219
52,69868,500.0,-0.0009513639137148858,218.88682176208496,109.44245961761474
53,71368,500.0,-0.0008620310592342097,233.96623197141685,116.98225406880648
54,72868,500.0,-0.001451485538079093,237.43694974978766,118.71702366669973
