iteration,timesteps,return,actor_loss,critic_loss,total_loss
1,2200,-1259.3134112661435,-0.0021681914348965106,33738.445354959236,16869.062637992527
2,4400,-1260.4391824252389,-0.00017552897334098815,23267.47285435268,11633.574383370536
3,6600,-1272.6285146104656,-0.002423100858926773,18693.96023046875,9346.81144921875
4,8800,-1296.4134223839653,-0.0006170192947153186,16849.3267578125,8424.491876921107
5,11000,-1363.535813345285,0.0003296558627451973,15932.248958894575,7965.950076048402
6,13200,-1368.6255789348222,-0.003180757117799566,14272.02654024921,7135.832255303105
7,15400,-1313.3076073603927,-0.003512302658387593,13990.382865513393,6995.007225167411
8,17600,-1258.6568760768766,-0.00014395645686558314,15079.162525111607,7539.397443498884
9,19800,-1266.7197463614277,-6.616958550044469e-05,12627.282021484374,6313.454115513393
10,22000,-1239.9494864511855,-0.0013989048983369555,13155.562515345982,6577.589694475447
11,24200,-1260.9722288203138,-0.0009041722970349448,12798.479091796875,6399.045604771205
12,26400,-1293.83729974006,-0.0016286089113264372,12936.519476503314,6468.061467211174
13,28600,-1300.835667212627,0.0018723315213407788,12824.551095145089,6412.0774581473215
14,30800,-1240.113921670346,-0.0023481144649641853,11115.919524274554,5557.755075334821
15,33000,-1113.683102686646,-0.003244057842871038,9440.76533322218,4720.174961493267
16,35200,-1074.4423374802495,-0.0038820368322459134,9040.103545957623,4519.840408972538
17,37400,-995.2711716545458,-0.0015150704341275352,6363.838148716518,3181.7061509486607
18,39600,-1127.345291131055,-0.0015214714624477506,7186.77781682526,3593.1724950665007
19,41800,-1125.66583844907,-0.00504725433812283,7248.087225885674,3623.821121870488
20,44000,-1123.2957947137838,-0.0049729639086230045,5696.77487035291,2848.163382694639
21,46200,-1065.8079994795946,-0.00021977590663092476,6431.265005580357,3215.4116842215403
22,48400,-1047.8814886257899,-0.00528486480973983,6774.134923225864,3386.840038640355
23,50600,-1124.1068128883953,-0.0032695985325067512,6856.901503196637,3428.223720669334
24,52800,-1013.6575846025188,0.0008780557191234896,6965.606051507124,3482.5780029296875
25,55000,-1066.7779804425343,-0.0016116475600462692,7546.962536808895,3773.2524616887017
26,57200,-1088.4212798993115,-8.758419596799421e-05,7165.61153011757,3582.576821193633
27,59400,-1066.7295942978485,-0.0018366848268816548,7928.771286699849,3964.152945044733
28,61600,-1028.4036650017147,0.002201876619032451,7362.455185546875,3680.9980318777903
