iteration,timesteps,return,actor_loss,critic_loss,total_loss
1,2200,-1273.9434790128037,-0.003887186034449509,31818.841495535715,15909.416849888394
2,4400,-1165.1625437135199,-0.003297539725762737,17188.927933636834,8594.460660149069
3,6600,-1197.8657074945638,-0.0021090647458940114,17020.973842286632,8510.484811650302
4,8800,-1132.209134555223,-0.003947596666403114,15864.490326450892,7932.241206752232
5,11000,-1199.959270633308,-0.0024764877516867184,14996.431307164634,7498.213176448171
6,13200,-1081.8953965442024,-0.00815509902074551,11868.388930622328,5934.186309553619
7,15400,-1020.8210202597857,-0.0032212943783296007,9823.482152622768,4911.737853655134
8,17600,-1070.146644884899,-0.0035649957594422388,9262.481077382263,4631.236979739767
9,19800,-1090.398865916667,-6.108252711377098e-05,8437.141570748634,4218.570720191141
10,22000,-1144.790604339203,-0.0013915044486939167,7525.797748447205,3762.8974798925174
11,24200,-1103.7254030176637,-0.0019806379335932434,7414.677211761475,3707.3366271972654
12,26400,-1154.5588143113755,-0.0016236405041334884,7614.928833705357,3807.462798200335
13,28600,-1182.771683534461,-0.0030326594983198945,7498.119940539676,3749.0569389265147
14,30800,-1172.8094528073036,0.0028132175868178936,7842.27779566988,3921.1416976604055
15,33000,-1125.6742818137925,-0.0010563260611437314,7204.524493711215,3602.2612018991026
16,35200,-1109.8999944793695,-0.00965473641891305,7827.048529201601,3913.5146013957697
17,37400,-1096.9575560714125,-0.0023882161520087895,7700.972499562733,3850.483866221869
18,39600,-1140.394497291959,0.000134841930873183,7739.231897579217,3869.6160805269797
19,41800,-1171.0498314602303,-0.00428670056992107,8474.573063151041,4237.282240125868
20,44000,-1123.1856816183624,-0.0011587572423741221,8052.782029157366,4026.3898517717635
21,46200,-1089.052152943112,-0.0024071987273089914,7989.639794338272,3994.8174786206737
22,48400,-1097.1435943427396,-0.002315916137577588,7634.8618928631,3817.4286336118216
23,50600,-1113.945087497503,-0.0006903620984624414,7870.590625,3935.294624597886
24,52800,-1028.5700033958974,-0.0047776309262126775,7227.712677290763,3613.8515671209584
25,55000,-1005.5015160938245,-0.0007956996771760962,6872.3727028586645,3436.1855567833045
26,57200,-1085.7326110055308,-0.0008443632839823798,7743.717901655238,3871.8581002873484
27,59400,-1086.3877910070223,-0.002235257706146628,7509.430465456039,3754.7129991319443
28,61600,-978.9760815782275,-0.0003437907174490132,6300.273807125492,3150.13655399776
29,63800,-919.9583566995531,-0.00043704622075892987,5414.289282226562,2707.1442054748536
30,66000,-856.819190411075,0.0034004308963910893,5511.595530348558,2755.8011662409854
31,68200,-931.6975033542633,-0.0005346318267335003,4703.278520942915,2351.6387302914864
32,70400,-865.4643041570725,-0.0022142122522640375,5770.767318913966,2885.381446744189
